ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.10498047,-0.03857422,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10498047,-0.03857422,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10546875,-0.03808594,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10546875,-0.03808594,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10449219,-0.03857422,1.00830078,-0.12207031,-0.24414062,0.18310547
0.10449219,-0.03857422,1.00830078,-0.12207031,-0.24414062,0.18310547
0.10449219,-0.0390625,1.00683594,-0.30517578,-0.24414062,0.12207031
0.10449219,-0.0390625,1.00683594,-0.30517578,-0.24414062,0.12207031
0.10400391,-0.0390625,1.0078125,-0.24414062,-0.30517578,0.12207031
0.10400391,-0.0390625,1.0078125,-0.24414062,-0.30517578,0.12207031
0.10546875,-0.03808594,1.00683594,-0.12207031,-0.24414062,0.18310547
0.10546875,-0.03808594,1.00683594,-0.12207031,-0.24414062,0.18310547
0.10498047,-0.03857422,1.00830078,-0.06103516,-0.18310547,0.12207031
0.10498047,-0.03857422,1.00830078,-0.06103516,-0.18310547,0.12207031
0.10449219,-0.03808594,1.00830078,-0.12207031,-0.18310547,0.18310547
0.10449219,-0.03808594,1.00830078,-0.12207031,-0.18310547,0.18310547
0.10498047,-0.03759766,1.00683594,-0.30517578,-0.24414062,0.12207031
0.10498047,-0.03759766,1.00683594,-0.30517578,-0.24414062,0.12207031
0.10449219,-0.03808594,1.00732422,-0.12207031,-0.18310547,0.12207031
0.10449219,-0.03808594,1.00732422,-0.12207031,-0.18310547,0.12207031
0.10498047,-0.03808594,1.00683594,-0.12207031,-0.24414062,0.06103516
0.10498047,-0.03808594,1.00683594,-0.12207031,-0.24414062,0.06103516
0.10400391,-0.03857422,1.00634766,-0.06103516,-0.18310547,0.12207031
0.10400391,-0.03857422,1.00634766,-0.06103516,-0.18310547,0.12207031
0.10400391,-0.03759766,1.00732422,-0.18310547,-0.18310547,0.24414062
0.10400391,-0.03759766,1.00732422,-0.18310547,-0.18310547,0.24414062
0.10400391,-0.03710938,1.00683594,-0.30517578,-0.24414062,0.18310547
0.10400391,-0.03710938,1.00683594,-0.30517578,-0.24414062,0.18310547
0.10400391,-0.03857422,1.00634766,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.03857422,1.00634766,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.03808594,1.00683594,-0.06103516,-0.24414062,0.12207031
0.10400391,-0.03808594,1.00683594,-0.06103516,-0.24414062,0.12207031
0.10498047,-0.03808594,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.03808594,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.0390625,1.00732422,-0.24414062,-0.24414062,0.18310547
0.10498047,-0.0390625,1.00732422,-0.24414062,-0.24414062,0.18310547
0.10693359,-0.03857422,1.00732422,-0.30517578,-0.30517578,0.18310547
0.10693359,-0.03857422,1.00732422,-0.30517578,-0.30517578,0.18310547
0.10644531,-0.0390625,1.00634766,-0.24414062,-0.30517578,0.12207031
0.10644531,-0.0390625,1.00634766,-0.24414062,-0.18310547,0.12207031
0.10644531,-0.03808594,1.00830078,-0.06103516,-0.30517578,0.06103516
0.10644531,-0.03808594,1.00830078,-0.06103516,-0.18310547,0.18310547
0.10498047,-0.0390625,1.00830078,-0.12207031,-0.18310547,0.12207031
0.10498047,-0.0390625,1.00830078,-0.24414062,-0.24414062,0.12207031
0.10595703,-0.03710938,1.00634766,-0.24414062,-0.18310547,0.18310547
0.10595703,-0.03710938,1.00634766,-0.12207031,-0.18310547,0.12207031
0.10546875,-0.03662109,1.00732422,-0.12207031,-0.18310547,0.12207031
0.10400391,-0.03662109,1.00732422,-0.30517578,-0.18310547,0.12207031
0.10449219,-0.03710938,1.00732422,-0.18310547,-0.24414062,0.12207031
0.10449219,-0.03710938,1.00732422,-0.24414062,-0.18310547,0.18310547
0.10449219,-0.03613281,1.00732422,-0.24414062,-0.18310547,0.18310547
0.10498047,-0.03710938,1.00732422,-0.12207031,-0.18310547,0.12207031
0.10400391,-0.03759766,1.0078125,-0.12207031,-0.18310547,0.12207031
0.10400391,-0.03759766,1.0078125,-0.12207031,-0.30517578,0.12207031
0.1015625,-0.03808594,1.00830078,-0.12207031,-0.30517578,0.12207031
0.10302734,-0.03759766,1.00732422,-0.24414062,-0.24414062,0.18310547
0.10400391,-0.03857422,1.00683594,-0.30517578,-0.18310547,0.18310547
0.10400391,-0.03857422,1.00683594,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.03808594,1.00683594,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.0390625,1.00732422,-0.18310547,-0.30517578,0.12207031
0.10498047,-0.03955078,1.00732422,-0.24414062,-0.18310547,0.18310547
0.10400391,-0.04003906,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10595703,-0.03808594,1.0078125,-0.18310547,-0.30517578,0.12207031
0.10595703,-0.03808594,1.0078125,-0.18310547,-0.24414062,0.18310547
0.10546875,-0.03808594,1.00585938,-0.18310547,-0.24414062,0.18310547
0.10498047,-0.03955078,1.00585938,-0.24414062,-0.24414062,0.18310547
0.10498047,-0.03955078,1.0078125,-0.24414062,-0.24414062,0.12207031
0.10498047,-0.03955078,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10546875,-0.03857422,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.03857422,1.00830078,-0.24414062,-0.30517578,0.12207031
0.10498047,-0.03662109,1.0078125,-0.18310547,-0.18310547,0.12207031
0.10498047,-0.03662109,1.00585938,-0.67138672,0.54931641,0.24414062
0.10693359,-0.03808594,1.00585938,-0.67138672,0.54931641,0.24414062
0.10400391,-0.03857422,1.00537109,-0.30517578,0.79345703,0.42724609
0.06103516,-0.03515625,1.00927734,-0.12207031,0.61035156,0.24414062
0.1015625,-0.03027344,1.00292969,0.73242188,0.36621094,-0.61035156
0.1015625,-0.03027344,1.00292969,0.73242188,0.36621094,-0.61035156
0.12011719,-0.03710938,1.00195312,1.52587891,-0.42724609,-0.91552734
0.0859375,-0.02783203,1.01611328,2.01416016,-0.54931641,-1.58691406
0.08154297,-0.04541016,1.01513672,1.09863281,-0.48828125,-2.07519531
